구,동,단지명,공시제곱미터당가_중위,호수,면적타입수
강북구,미아동,(258-613),2807662,6,1
강북구,미아동,(258-63),2972560,6,1
강북구,미아동,(258-633),2820512,6,1
강북구,미아동,(258-634),2883242,6,1
강북구,미아동,(258-635),2833638,6,1
강북구,미아동,(258-636),2921998,6,1
강북구,미아동,(258-637),2747688,6,1
강북구,미아동,(258-638),2774108,6,1
강북구,미아동,(258-639),2747688,6,1
강북구,미아동,(258-64),2794715,6,1
강북구,미아동,(258-640),2791145,6,1
강북구,미아동,(258-641),2982738,6,1
강북구,미아동,(258-642),2880859,6,1
강북구,미아동,(258-643),2287735,6,2
강북구,미아동,(258-646),2806838,6,1
강북구,미아동,(258-648),2777600,6,2
강북구,미아동,(258-659),3089046,2,1
강북구,미아동,(258-673),2829782,6,1
강북구,미아동,(258-674),2321099,4,3
강북구,미아동,(258-679),2794715,6,1
강북구,미아동,(258-681),2869587,6,1
강북구,미아동,(258-688),2997341,6,1
강북구,미아동,(258-695),2953586,2,1
강북구,미아동,(258-696),2839931,3,2
강북구,미아동,(258-7),2912129,6,1
강북구,미아동,(258-720),3030303,16,3
강북구,미아동,(258-721),2806528,12,1
강북구,미아동,(258-722),2883031,16,3
강북구,미아동,(258-8),2869544,6,1
강북구,미아동,(258-83),2820560,6,1
강북구,미아동,(258-87),2806838,6,1
강북구,미아동,(258-92),2824275,6,2
강북구,미아동,(258-93),2808489,6,2
강북구,미아동,(258-97),2842688,6,1
강북구,미아동,(3-219),3682200,4,2
강북구,미아동,(3-220),3970390,7,4
강북구,미아동,(3-249),1775827,4,3
강북구,미아동,(3-51),2887634,2,2
강북구,미아동,(3-721),5293501,6,2
강북구,미아동,(301-18),2302372,10,3
강북구,미아동,(302-76),2032444,6,5
강북구,미아동,(303-26),2469402,9,4
강북구,미아동,(306-33),4220100,8,4
강북구,미아동,(309-35),3673469,7,5
강북구,미아동,(312-22),3088293,4,2
강북구,미아동,(315-33)노블레스,4818934,8,3
강북구,미아동,(324-9),2124505,3,1
강북구,미아동,(399-3),7004830,5,3
강북구,미아동,(399-6),2719797,3,1
강북구,미아동,(400-1),5902079,5,3
강북구,미아동,(400-2),6769825,3,3
강북구,미아동,(400-23),7655826,3,3
강북구,미아동,(400-5),5087545,5,5
강북구,미아동,(403-105),6275743,2,2
강북구,미아동,(403-13),8556266,2,2
강북구,미아동,(403-147),4756216,2,2
강북구,미아동,(403-155),6614664,2,1
강북구,미아동,(403-160),4637096,7,3
강북구,미아동,(403-176),5507435,2,1
강북구,미아동,(403-181),5299585,2,2
강북구,미아동,(403-183),5563549,2,1
강북구,미아동,(403-27),4139742,2,2
강북구,미아동,(403-32),4617057,2,2
강북구,미아동,(403-97),5750501,2,1
강북구,미아동,(411-1),4997298,5,3
강북구,미아동,(416-108),5408827,3,3
강북구,미아동,(416-71),5591915,4,4
강북구,미아동,(416-72),4680748,5,5
강북구,미아동,(416-79),6007462,5,5
강북구,미아동,(417-10),5940856,4,2
강북구,미아동,(417-19),5997552,6,2
강북구,미아동,(42-175),5470635,3,1
강북구,미아동,(42-69),4441945,9,4
강북구,미아동,(420-2),5209867,5,4
강북구,미아동,(421-0),4755159,8,2
